,Home,Away,Date,Match,Squad,# Pl_Standard,Age_Standard,Poss_Standard,MP_Standard,Starts_Standard,Min_Standard,90s_Standard,Gls_Standard,Ast_Standard,G+A_Standard,G-PK_Standard,PK_Standard,PKatt_Standard,CrdY_Standard,CrdR_Standard,xG_Standard,npxG_Standard,xAG_Standard,npxG+xAG_Standard,PrgC_Standard,PrgP_Standard,Gls_Standard,Ast_Standard,G+A_Standard,G-PK_Standard,G+A-PK_Standard,xG_Standard,xAG_Standard,xG+xAG_Standard,npxG_Standard,npxG+xAG_Standard,# Pl_GK,MP_GK,Starts_GK,Min_GK,90s_GK,GA_GK,GA90_GK,SoTA_GK,Saves_GK,Save%_GK,W_GK,D_GK,L_GK,CS_GK,CS%_GK,PKatt_GK,PKA_GK,PKsv_GK,PKm_GK,Save%_GK,# Pl_AdvGK,90s_AdvGK,GA_AdvGK,PKA_AdvGK,FK_AdvGK,CK_AdvGK,OG_AdvGK,PSxG_AdvGK,PSxG/SoT_AdvGK,PSxG+/-_AdvGK,/90_AdvGK,Cmp_AdvGK,Att_AdvGK,Cmp%_AdvGK,Att (GK)_AdvGK,Thr_AdvGK,Launch%_AdvGK,AvgLen_AdvGK,Att_AdvGK,Launch%_AdvGK,AvgLen_AdvGK,Opp_AdvGK,Stp_AdvGK,Stp%_AdvGK,#OPA_AdvGK,#OPA/90_AdvGK,AvgDist_AdvGK,# Pl_Shooting,90s_Shooting,Gls_Shooting,Sh_Shooting,SoT_Shooting,SoT%_Shooting,Sh/90_Shooting,SoT/90_Shooting,G/Sh_Shooting,G/SoT_Shooting,Dist_Shooting,FK_Shooting,PK_Shooting,PKatt_Shooting,xG_Shooting,npxG_Shooting,npxG/Sh_Shooting,G-xG_Shooting,np:G-xG_Shooting,# Pl_Passing,90s_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,TotDist_Passing,PrgDist_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Ast_Passing,xAG_Passing,xA_Passing,A-xAG_Passing,KP_Passing,1/3_Passing,PPA_Passing,CrsPA_Passing,PrgP_Passing,# Pl_PassTypes,90s_PassTypes,Att_PassTypes,Live_PassTypes,Dead_PassTypes,FK_PassTypes,TB_PassTypes,Sw_PassTypes,Crs_PassTypes,TI_PassTypes,CK_PassTypes,In_PassTypes,Out_PassTypes,Str_PassTypes,Cmp_PassTypes,Off_PassTypes,Blocks_PassTypes,# PlG&SCreation,90sG&SCreation,SCAG&SCreation,SCA90G&SCreation,PassLiveG&SCreation,PassDeadG&SCreation,TOG&SCreation,ShG&SCreation,FldG&SCreation,DefG&SCreation,GCAG&SCreation,GCA90G&SCreation,PassLiveG&SCreation,PassDeadG&SCreation,TOG&SCreation,ShG&SCreation,FldG&SCreation,DefG&SCreation,# Pl_DefActions,90s_DefActions,Tkl_DefActions,TklW_DefActions,Def 3rd_DefActions,Mid 3rd_DefActions,Att 3rd_DefActions,Tkl_DefActions,Att_DefActions,Tkl%_DefActions,Lost_DefActions,Blocks_DefActions,Sh_DefActions,Pass_DefActions,Int_DefActions,Tkl+Int_DefActions,Clr_DefActions,Err_DefActions,# Pl_Possession,Poss_Possession,90s_Possession,Touches_Possession,Def Pen_Possession,Def 3rd_Possession,Mid 3rd_Possession,Att 3rd_Possession,Att Pen_Possession,Live_Possession,Att_Possession,Succ_Possession,Succ%_Possession,Tkld_Possession,Tkld%_Possession,Carries_Possession,TotDist_Possession,PrgDist_Possession,PrgC_Possession,1/3_Possession,CPA_Possession,Mis_Possession,Dis_Possession,Rec_Possession,PrgR_Possession,# Pl_PlayTime,Age_PlayTime,MP_PlayTime,Min_PlayTime,Mn/MP_PlayTime,Min%_PlayTime,90s_PlayTime,Starts_PlayTime,Mn/Start_PlayTime,Compl_PlayTime,Subs_PlayTime,Mn/Sub_PlayTime,unSub_PlayTime,PPM_PlayTime,onG_PlayTime,onGA_PlayTime,+/-_PlayTime,+/-90_PlayTime,onxG_PlayTime,onxGA_PlayTime,xG+/-_PlayTime,xG+/-90_PlayTime,# Pl_Misc,90s_Misc,CrdY_Misc,CrdR_Misc,2CrdY_Misc,Fls_Misc,Fld_Misc,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon_Misc,PKcon_Misc,OG_Misc,Recov_Misc,Won_Misc,Lost_Misc,Won%_Misc,Extraction Date
0,Leicester City,Chelsea,2024-11-23,Leicester City Vs Chelsea,Leicester City,22,26.6,47.7,11,121,990,11.0,14,12,26,13,1,1,30,0,11.1,10.4,9.2,19.6,181,353,1.27,1.09,2.36,1.18,2.27,1.01,0.84,1.84,0.95,1.78,1,11,11,990,11.0,21,1.91,61,42,67.2,2,4,5,1,9.1,1,1,0,0,0.0,1,11.0,21,1,0,0,2,20.7,0.34,+1.7,+0.16,49,156,31.4,308,63,37.3,33.6,88,46.6,36.0,195,11,5.6,11,1.00,12.9,22,11.0,14,112,35,31.3,10.18,3.18,0.12,0.37,18.4,1,1,1,11.1,10.4,0.09,+2.9,+2.6,22,11.0,4026,5015,80.3,67541,25697,1939,2178,89.0,1604,1832,87.6,343,685,50.1,12,9.2,9.4,+2.8,90,319,73,20,353,22,11.0,5015,4485,511,146,19,16,182,206,39,27,5,0,4026,19,86,22,11.0,199,18.09,141,22,15,8,13,0,24,2.18,15,3,3,1,2,0,22,11.0,233,141,127,73,33,94,202,46.5,108,172,64,108,75,308,317,5,22,47.7,11.0,6403,856,2340,2850,1289,208,6402,231,93,40.3,111,48.1,3603,18414,9138,181,104,42,164,115,3987,351,22,26.6,11,990,90,100,11.0,121,85,80,41,14,58,0.91,14,21,-7,-0.64,11.1,20.0,-9.0,-0.81,22,11.0,30,0,0,122,133,19,182,75,141,1,1,2,439,162,161,50.2,2024-11-11 14:23:40.616431
1,Arsenal,Nott'ham Forest,2024-11-23,Arsenal Vs Nott'ham Forest,Arsenal,23,26.4,50.3,11,121,990,11.0,17,14,31,17,0,0,30,3,17.0,17.0,12.9,29.9,205,452,1.55,1.27,2.82,1.55,2.82,1.55,1.17,2.72,1.55,2.72,1,11,11,990,11.0,12,1.09,46,34,76.1,5,4,2,3,27.3,1,1,0,0,0.0,1,11.0,12,1,0,3,0,10.2,0.21,-1.8,-0.17,67,180,37.2,328,43,41.8,33.7,66,65.2,45.9,144,21,14.6,18,1.64,13.9,23,11.0,17,152,53,34.9,13.82,4.82,0.11,0.32,14.9,0,0,0,17.0,17.0,0.12,0.0,0.0,23,11.0,4138,5066,81.7,70686,23368,2001,2221,90.1,1772,2036,87.0,301,594,50.7,14,12.9,12.6,+1.1,119,314,107,18,452,23,11.0,5066,4605,442,126,17,26,197,163,64,55,3,2,4138,19,88,23,11.0,268,24.36,203,23,15,19,5,3,30,2.73,21,5,1,2,1,0,23,11.0,187,116,77,70,40,90,185,48.6,95,136,54,82,79,266,234,11,23,50.3,11.0,6222,637,1826,2521,1925,354,6222,204,95,46.6,78,38.2,3412,17986,9351,205,121,89,130,123,4103,445,23,26.4,11,990,90,100,11.0,121,83,79,40,17,59,1.73,18,12,+6,+0.55,17.0,11.9,+5.1,+0.46,23,11.0,30,3,2,141,116,19,197,79,116,0,1,0,398,149,149,50.0,2024-11-11 14:23:40.616431
2,Bournemouth,Brighton,2024-11-23,Bournemouth Vs Brighton,Bournemouth,23,25.8,44.3,11,121,990,11.0,15,12,27,14,1,2,32,0,18.8,17.2,13.4,30.6,205,423,1.36,1.09,2.45,1.27,2.36,1.71,1.22,2.93,1.57,2.78,3,11,11,990,11.0,15,1.36,60,45,75.0,4,3,4,1,9.1,0,0,0,0,,3,11.0,15,0,0,1,0,20.3,0.34,+5.3,+0.48,67,137,48.9,246,46,38.6,36.8,78,53.8,42.0,141,7,5.0,15,1.36,12.6,23,11.0,15,165,50,30.3,15.00,4.55,0.08,0.28,17.7,4,1,2,18.8,17.2,0.11,-3.8,-3.2,23,11.0,3479,4572,76.1,64927,25271,1489,1732,86.0,1572,1856,84.7,380,789,48.2,12,13.4,11.3,-1.4,129,337,89,28,423,23,11.0,4572,4080,468,112,15,18,238,183,69,55,4,0,3479,24,95,23,11.0,302,27.45,230,19,14,19,14,6,26,2.36,16,3,3,1,3,0,23,11.0,206,119,86,87,33,78,167,46.7,89,138,35,103,98,304,271,4,23,44.3,11.0,5927,657,1826,2463,1716,284,5925,202,88,43.6,86,42.6,3161,18229,9612,205,133,67,152,95,3443,418,23,25.8,11,990,90,100,11.0,121,81,68,53,21,46,1.36,15,15,0,0.00,18.8,14.4,+4.4,+0.40,23,11.0,32,0,0,153,107,24,238,98,119,2,0,0,548,149,195,43.3,2024-11-11 14:23:40.616431
3,Aston Villa,Crystal Palace,2024-11-23,Aston Villa Vs Crystal Palace,Aston Villa,21,27.2,50.6,11,121,990,11.0,16,14,30,16,0,0,29,1,16.2,16.2,12.7,28.9,198,368,1.45,1.27,2.73,1.45,2.73,1.47,1.16,2.63,1.47,2.63,1,11,11,990,11.0,17,1.55,43,25,62.8,5,3,3,1,9.1,2,1,1,0,50.0,1,11.0,17,1,1,0,0,14.8,0.31,-2.2,-0.20,52,117,44.4,318,39,27.4,30.1,81,37.0,32.1,147,19,12.9,11,1.00,12.8,21,11.0,16,136,41,30.1,12.36,3.73,0.12,0.39,15.6,4,0,0,16.2,16.2,0.12,-0.2,-0.2,21,11.0,4265,5134,83.1,72444,25670,1991,2201,90.5,1858,2074,89.6,317,597,53.1,14,12.7,11.8,+1.3,105,355,93,18,368,21,11.0,5134,4636,487,163,32,17,172,153,62,50,3,1,4265,11,101,21,11.0,244,22.18,173,25,12,20,10,4,28,2.55,23,2,0,3,0,0,21,11.0,182,108,83,78,21,82,148,55.4,66,93,26,67,80,262,205,9,21,50.6,11.0,6237,698,2071,2658,1571,253,6237,202,98,48.5,78,38.6,3736,19505,10276,198,135,54,140,125,4193,365,21,27.2,11,990,90,100,11.0,121,80,69,53,24,46,1.64,17,17,0,0.00,16.2,13.3,+2.9,+0.26,21,11.0,29,1,1,139,141,11,172,80,108,0,2,0,406,96,120,44.4,2024-11-11 14:23:40.616431
4,Everton,Brentford,2024-11-23,Everton Vs Brentford,Everton,22,29.1,39.3,11,121,990,11.0,10,7,17,10,0,0,18,1,11.9,11.9,9.4,21.4,141,302,0.91,0.64,1.55,0.91,1.55,1.08,0.86,1.94,1.08,1.94,1,11,11,990,11.0,17,1.55,47,29,63.8,2,4,5,3,27.3,1,0,1,0,100.0,1,11.0,17,0,0,3,0,15.9,0.32,-1.1,-0.10,102,254,40.2,337,41,58.8,44.0,88,63.6,49.4,169,8,4.7,23,2.09,16.4,22,11.0,10,131,43,32.8,11.91,3.91,0.08,0.23,16.6,5,0,0,11.9,11.9,0.09,-1.9,-1.9,22,11.0,3134,4189,74.8,60292,25012,1377,1608,85.6,1239,1499,82.7,453,837,54.1,7,9.4,9.7,-2.4,97,275,81,23,302,22,11.0,4189,3662,496,122,13,27,187,213,45,26,8,5,3134,31,107,22,11.0,236,21.45,165,26,13,12,13,7,19,1.73,12,1,1,0,2,3,22,11.0,222,126,112,81,29,108,184,58.7,76,104,37,67,111,333,262,6,22,39.3,11.0,5425,694,1955,2215,1329,232,5425,209,92,44.0,104,49.8,2633,14096,6761,141,95,43,141,115,3107,300,22,29.1,11,990,90,100,11.0,121,85,89,31,19,67,0.91,10,17,-7,-0.64,11.9,16.0,-4.0,-0.37,22,11.0,18,1,0,123,111,31,187,111,126,0,1,0,491,170,142,54.5,2024-11-11 14:23:40.616431
5,Fulham,Wolves,2024-11-23,Fulham Vs Wolves,Fulham,21,28.2,53.5,11,121,990,11.0,16,15,31,15,1,2,27,1,17.0,15.4,13.9,29.3,240,471,1.45,1.36,2.82,1.36,2.73,1.54,1.27,2.81,1.40,2.66,1,11,11,990,11.0,13,1.18,45,33,71.1,5,3,3,2,18.2,0,0,0,0,,1,11.0,13,0,0,3,1,11.8,0.26,-0.2,-0.01,28,95,29.5,357,39,19.9,27.4,76,31.6,28.4,141,9,6.4,9,0.82,11.7,21,11.0,16,170,58,34.1,15.45,5.27,0.09,0.26,16.5,3,1,2,17.0,15.4,0.09,-1.0,-0.4,21,11.0,4832,5863,82.4,85575,28863,2111,2349,89.9,2186,2465,88.7,441,774,57.0,15,13.9,13.0,+1.1,140,416,107,29,471,21,11.0,5863,5330,514,147,18,36,255,202,65,26,32,0,4832,19,100,21,11.0,309,28.09,228,29,12,25,7,8,30,2.73,27,0,1,0,1,1,21,11.0,193,113,89,72,32,69,153,45.1,84,110,35,75,100,293,215,8,21,53.5,11.0,7053,719,2218,2915,1986,305,7051,200,88,44.0,77,38.5,4405,21479,11080,240,181,79,150,88,4785,468,21,28.2,11,990,90,100,11.0,121,84,67,53,14,46,1.64,16,13,+3,+0.27,17.0,12.7,+4.3,+0.39,21,11.0,27,1,0,125,116,19,255,100,113,1,0,1,458,137,152,47.4,2024-11-11 14:23:40.616431
6,Manchester City,Tottenham,2024-11-23,Manchester City Vs Tottenham,Manchester City,21,27.5,63.9,11,121,990,11.0,22,15,37,21,1,1,23,0,22.0,21.2,18.4,39.6,411,640,2.00,1.36,3.36,1.91,3.27,2.00,1.67,3.67,1.93,3.60,1,11,11,990,11.0,13,1.18,36,24,66.7,7,2,2,2,18.2,1,1,0,0,0.0,1,11.0,13,1,0,1,1,13.6,0.37,+1.6,+0.15,38,81,46.9,365,39,20.5,27.9,40,15.0,24.3,89,4,4.5,23,2.09,18.4,21,11.0,22,211,72,34.1,19.18,6.55,0.10,0.29,17.2,6,1,1,22.0,21.2,0.10,0.0,-0.2,21,11.0,6661,7515,88.6,105571,28762,3541,3817,92.8,2621,2852,91.9,381,574,66.4,15,18.4,20.3,-3.4,173,497,169,23,640,21,11.0,7515,7036,470,125,26,22,231,179,102,53,12,1,6661,9,123,21,11.0,391,35.55,311,25,22,18,12,3,37,3.36,24,1,6,3,1,2,21,11.0,144,84,54,55,35,59,118,50.0,59,85,20,65,64,208,145,7,21,63.9,11.0,8544,542,1725,3263,3623,511,8543,240,115,47.9,79,32.9,5392,30461,17120,411,267,153,123,115,6573,634,21,27.5,11,990,90,100,11.0,121,85,86,35,18,60,2.09,22,13,+9,+0.82,22.0,13.0,+9.0,+0.81,21,11.0,23,0,0,76,114,9,231,64,84,1,1,1,418,90,100,47.4,2024-11-11 14:23:40.616431
7,Southampton,Liverpool,2024-11-24,Southampton Vs Liverpool,Southampton,28,26.1,56.6,11,121,990,11.0,7,5,12,7,0,1,37,2,11.9,11.1,9.3,20.4,219,388,0.64,0.45,1.09,0.64,1.09,1.08,0.85,1.93,1.01,1.85,2,11,11,990,11.0,21,1.91,64,43,68.8,1,1,9,1,9.1,1,1,0,0,0.0,2,11.0,21,1,0,5,0,21.0,0.33,0.0,0.00,41,124,33.1,380,61,30.8,22.2,88,8.0,15.4,156,11,7.1,10,0.91,6.9,28,11.0,7,112,31,27.7,10.18,2.82,0.06,0.23,16.0,3,0,1,11.9,11.1,0.10,-4.9,-4.1,28,11.0,5513,6361,86.7,89615,28238,2707,2937,92.2,2370,2617,90.6,318,562,56.6,5,9.3,8.4,-4.3,88,361,77,12,388,28,11.0,6361,5865,482,158,19,23,166,150,54,35,9,0,5513,14,91,28,11.0,206,18.73,147,17,12,16,11,3,14,1.27,10,1,1,1,0,1,28,11.0,183,111,85,74,24,70,167,41.9,97,128,56,72,84,267,248,15,28,56.6,11.0,7527,930,2752,3245,1578,233,7526,195,80,41.0,96,49.2,4371,22259,11800,219,148,58,129,113,5467,385,28,26.1,11,990,90,100,11.0,121,80,67,53,23,46,0.36,7,21,-14,-1.27,11.9,22.4,-10.6,-0.96,28,11.0,37,2,0,130,144,14,166,84,111,1,1,0,366,93,93,50.0,2024-11-11 14:23:40.616431
8,Ipswich Town,Manchester Utd,2024-11-24,Ipswich Town Vs Manchester Utd,Ipswich Town,27,26.3,40.8,11,121,990,11.0,12,9,21,12,0,0,35,2,10.1,10.1,7.8,17.9,143,287,1.09,0.82,1.91,1.09,1.91,0.92,0.71,1.63,0.92,1.63,2,11,11,990,11.0,22,2.00,65,43,69.2,1,5,5,1,9.1,2,2,0,0,0.0,2,11.0,22,2,0,2,0,22.9,0.33,+0.9,+0.08,43,138,31.2,301,70,29.9,30.4,75,64.0,47.5,164,26,15.9,8,0.73,13.8,27,11.0,12,108,33,30.6,9.82,3.00,0.11,0.36,16.5,4,0,0,10.1,10.1,0.09,+1.9,+1.9,27,11.0,3336,4284,77.9,57800,21978,1597,1789,89.3,1379,1624,84.9,296,642,46.1,9,7.8,6.4,+1.2,85,261,59,15,287,27,11.0,4284,3802,463,138,19,19,157,163,54,38,8,1,3336,19,92,27,11.0,189,17.18,125,28,14,7,12,3,18,1.64,15,0,2,1,0,0,27,11.0,184,103,98,65,21,94,200,47.0,106,136,47,89,101,285,289,10,27,40.8,11.0,5532,842,2170,2172,1243,190,5532,166,83,50.0,71,42.8,2956,16101,7743,143,96,41,165,92,3308,284,27,26.3,11,990,90,100,11.0,121,83,68,51,17,48,0.73,12,22,-10,-0.91,10.1,24.2,-14.1,-1.28,27,11.0,35,2,2,139,124,19,157,101,103,0,2,0,396,147,146,50.2,2024-11-11 14:23:40.616431
9,Newcastle Utd,West Ham,2024-11-25,Newcastle Utd Vs West Ham,Newcastle Utd,19,27.6,49.0,11,121,990,11.0,13,11,24,12,1,2,27,1,16.3,14.7,13.0,27.8,186,424,1.18,1.00,2.18,1.09,2.09,1.48,1.19,2.67,1.34,2.52,1,11,11,990,11.0,11,1.00,52,42,78.8,5,3,3,3,27.3,0,0,0,0,,1,11.0,11,0,0,0,1,13.7,0.27,+3.7,+0.34,28,123,22.8,239,62,33.9,33.8,88,47.7,40.4,167,13,7.8,19,1.73,13.5,19,11.0,13,137,42,30.7,12.45,3.82,0.09,0.29,15.4,4,1,2,16.3,14.7,0.11,-3.3,-2.7,19,11.0,4163,5197,80.1,70625,26320,2040,2327,87.7,1759,1996,88.1,314,668,47.0,11,13.0,11.3,-2.0,111,325,92,18,424,19,11.0,5197,4641,537,168,22,24,188,196,63,45,7,1,4163,19,101,19,11.0,254,23.09,189,24,10,12,15,4,25,2.27,20,1,1,1,1,1,19,11.0,192,118,86,77,29,100,182,54.9,82,138,45,93,94,286,227,11,19,49.0,11.0,6399,758,2309,2562,1580,269,6397,171,72,42.1,73,42.7,3834,20198,9749,186,112,67,139,143,4129,424,19,27.6,11,990,90,100,11.0,121,82,75,45,21,54,1.64,13,11,+2,+0.18,16.3,14.6,+1.7,+0.15,19,11.0,27,1,0,124,154,19,188,94,118,2,0,1,476,142,126,53.0,2024-11-11 14:23:40.616431
