Squad,# Pl_Standard,Age_Standard,Poss_Standard,MP_Standard,Starts_Standard,Min_Standard,90s_Standard,Gls_Standard,Ast_Standard,G+A_Standard,G-PK_Standard,PK_Standard,PKatt_Standard,CrdY_Standard,CrdR_Standard,xG_Standard,npxG_Standard,xAG_Standard,npxG+xAG_Standard,PrgC_Standard,PrgP_Standard,Gls_Standard,Ast_Standard,G+A_Standard,G-PK_Standard,G+A-PK_Standard,xG_Standard,xAG_Standard,xG+xAG_Standard,npxG_Standard,npxG+xAG_Standard,# Pl_GK,MP_GK,Starts_GK,Min_GK,90s_GK,GA_GK,GA90_GK,SoTA_GK,Saves_GK,Save%_GK,W_GK,D_GK,L_GK,CS_GK,CS%_GK,PKatt_GK,PKA_GK,PKsv_GK,PKm_GK,Save%_GK,# Pl_AdvGK,90s_AdvGK,GA_AdvGK,PKA_AdvGK,FK_AdvGK,CK_AdvGK,OG_AdvGK,PSxG_AdvGK,PSxG/SoT_AdvGK,PSxG+/-_AdvGK,/90_AdvGK,Cmp_AdvGK,Att_AdvGK,Cmp%_AdvGK,Att (GK)_AdvGK,Thr_AdvGK,Launch%_AdvGK,AvgLen_AdvGK,Att_AdvGK,Launch%_AdvGK,AvgLen_AdvGK,Opp_AdvGK,Stp_AdvGK,Stp%_AdvGK,#OPA_AdvGK,#OPA/90_AdvGK,AvgDist_AdvGK,# Pl_Shooting,90s_Shooting,Gls_Shooting,Sh_Shooting,SoT_Shooting,SoT%_Shooting,Sh/90_Shooting,SoT/90_Shooting,G/Sh_Shooting,G/SoT_Shooting,Dist_Shooting,FK_Shooting,PK_Shooting,PKatt_Shooting,xG_Shooting,npxG_Shooting,npxG/Sh_Shooting,G-xG_Shooting,np:G-xG_Shooting,# Pl_Passing,90s_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,TotDist_Passing,PrgDist_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Ast_Passing,xAG_Passing,xA_Passing,A-xAG_Passing,KP_Passing,1/3_Passing,PPA_Passing,CrsPA_Passing,PrgP_Passing,# Pl_PassTypes,90s_PassTypes,Att_PassTypes,Live_PassTypes,Dead_PassTypes,FK_PassTypes,TB_PassTypes,Sw_PassTypes,Crs_PassTypes,TI_PassTypes,CK_PassTypes,In_PassTypes,Out_PassTypes,Str_PassTypes,Cmp_PassTypes,Off_PassTypes,Blocks_PassTypes,# PlG&SCreation,90sG&SCreation,SCAG&SCreation,SCA90G&SCreation,PassLiveG&SCreation,PassDeadG&SCreation,TOG&SCreation,ShG&SCreation,FldG&SCreation,DefG&SCreation,GCAG&SCreation,GCA90G&SCreation,PassLiveG&SCreation,PassDeadG&SCreation,TOG&SCreation,ShG&SCreation,FldG&SCreation,DefG&SCreation,# Pl_DefActions,90s_DefActions,Tkl_DefActions,TklW_DefActions,Def 3rd_DefActions,Mid 3rd_DefActions,Att 3rd_DefActions,Tkl_DefActions,Att_DefActions,Tkl%_DefActions,Lost_DefActions,Blocks_DefActions,Sh_DefActions,Pass_DefActions,Int_DefActions,Tkl+Int_DefActions,Clr_DefActions,Err_DefActions,# Pl_Possession,Poss_Possession,90s_Possession,Touches_Possession,Def Pen_Possession,Def 3rd_Possession,Mid 3rd_Possession,Att 3rd_Possession,Att Pen_Possession,Live_Possession,Att_Possession,Succ_Possession,Succ%_Possession,Tkld_Possession,Tkld%_Possession,Carries_Possession,TotDist_Possession,PrgDist_Possession,PrgC_Possession,1/3_Possession,CPA_Possession,Mis_Possession,Dis_Possession,Rec_Possession,PrgR_Possession,# Pl_PlayTime,Age_PlayTime,MP_PlayTime,Min_PlayTime,Mn/MP_PlayTime,Min%_PlayTime,90s_PlayTime,Starts_PlayTime,Mn/Start_PlayTime,Compl_PlayTime,Subs_PlayTime,Mn/Sub_PlayTime,unSub_PlayTime,PPM_PlayTime,onG_PlayTime,onGA_PlayTime,+/-_PlayTime,+/-90_PlayTime,onxG_PlayTime,onxGA_PlayTime,xG+/-_PlayTime,xG+/-90_PlayTime,# Pl_Misc,90s_Misc,CrdY_Misc,CrdR_Misc,2CrdY_Misc,Fls_Misc,Fld_Misc,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon_Misc,PKcon_Misc,OG_Misc,Recov_Misc,Won_Misc,Lost_Misc,Won%_Misc,Extraction Date
Alavés,22,27.0,38.0,3,44,360,4.0,5,2,7,4,1,2,10,1,5.3,3.7,2.4,6.1,64,122,1.25,0.50,1.75,1.00,1.50,1.32,0.60,1.92,0.93,1.53,1,3,3,360,4.0,3,0.75,14,11,78.6,2,1,1,2,66.7,0,0,0,0,,1,4.0,3,0,0,0,0,3.5,0.26,+0.5,+0.13,33,88,37.5,87,6,78.2,48.3,35,57.1,46.2,49,3,6.1,3,0.75,12.5,22,4.0,5,42,12,28.6,10.50,3.00,0.10,0.33,17.9,1,1,2,5.3,3.7,0.09,-0.3,+0.3,22,4.0,915,1323,69.2,18182,7796,364,457,79.6,397,501,79.2,133,292,45.5,2,2.4,2.6,-0.4,31,87,26,12,122,22,4.0,1323,1122,193,50,10,6,82,83,18,6,5,3,915,8,31,22,4.0,76,19.00,54,8,3,3,6,2,8,2.00,7,0,0,0,1,0,22,4.0,66,39,30,29,7,31,61,50.8,30,38,6,32,36,102,79,0,22,38.0,4.0,1744,188,558,733,471,80,1742,57,23,40.4,30,52.6,822,4727,2525,64,37,12,53,25,898,119,22,27.0,3,360,120,100,4.0,44,81,23,20,20,27,1.33,3,3,0,0.00,5.3,3.9,+1.3,+0.34,22,4.0,10,1,0,66,46,8,82,36,39,2,0,0,147,40,67,37.4,2024-09-02 14:47:15.054703
Athletic Club,23,27.2,51.8,4,44,360,4.0,3,2,5,2,1,1,13,0,3.0,2.2,1.2,3.4,58,165,0.75,0.50,1.25,0.50,1.00,0.75,0.29,1.04,0.55,0.84,2,4,4,360,4.0,4,1.00,9,5,55.6,1,1,2,1,25.0,0,0,0,0,,2,4.0,4,0,0,1,0,4.1,0.45,+0.1,+0.02,18,60,30.0,110,20,41.8,30.1,27,51.9,39.6,42,6,14.3,5,1.25,15.7,23,4.0,3,35,10,28.6,8.75,2.50,0.06,0.20,19.8,1,1,1,3.0,2.2,0.06,0.0,-0.2,23,4.0,1536,1931,79.5,27030,8851,678,785,86.4,706,808,87.4,126,267,47.2,2,1.2,1.9,+0.8,21,139,24,6,165,23,4.0,1931,1729,193,52,7,18,74,88,18,7,7,0,1536,9,24,23,4.0,60,15.00,43,4,4,4,3,2,6,1.50,5,0,0,0,1,0,23,4.0,51,31,19,25,7,29,67,43.3,38,36,9,27,31,82,76,5,23,51.8,4.0,2324,190,612,1163,559,67,2323,84,36,42.9,39,46.4,1266,7045,3887,58,39,15,58,42,1516,161,23,27.2,4,360,90,100,4.0,44,80,24,20,21,27,1.00,3,4,-1,-0.25,3.0,4.5,-1.5,-0.37,23,4.0,13,0,0,58,39,9,74,31,31,1,0,0,150,47,54,46.5,2024-09-02 14:47:15.054703
Atlético Madrid,20,29.0,52.3,4,44,360,4.0,6,5,11,6,0,0,5,0,6.4,6.4,5.2,11.6,63,193,1.50,1.25,2.75,1.50,2.75,1.59,1.31,2.90,1.59,2.90,2,4,4,360,4.0,2,0.50,9,8,77.8,2,2,0,3,75.0,0,0,0,0,,2,4.0,2,0,0,0,1,1.3,0.15,+0.3,+0.09,2,12,16.7,61,14,11.5,26.7,32,15.6,26.3,54,1,1.9,4,1.00,15.2,20,4.0,6,54,19,35.2,13.50,4.75,0.11,0.32,16.3,1,0,0,6.4,6.4,0.12,-0.4,-0.4,20,4.0,1987,2336,85.1,34355,11030,869,950,91.5,908,1008,90.1,153,252,60.7,5,5.2,4.2,-0.2,42,127,48,13,193,20,4.0,2336,2149,175,44,3,22,59,78,15,3,7,0,1987,12,38,20,4.0,95,23.75,80,6,4,4,0,1,11,2.75,10,0,1,0,0,0,20,4.0,69,42,44,19,6,36,76,47.4,40,32,9,23,29,98,85,4,20,52.3,4.0,2724,287,959,1189,600,90,2724,55,30,54.5,20,36.4,1569,7932,3952,63,56,16,44,29,1970,193,20,29.0,4,360,90,100,4.0,44,78,24,20,27,27,2.00,6,2,+4,+1.00,6.4,2.4,+4.0,+1.00,20,4.0,5,0,0,38,37,12,59,29,42,0,0,1,162,44,33,57.1,2024-09-02 14:47:15.054703
Barcelona,20,25.2,65.3,4,44,360,4.0,13,9,22,12,1,1,8,0,11.1,10.3,9.1,19.4,74,220,3.25,2.25,5.50,3.00,5.25,2.76,2.28,5.05,2.57,4.85,1,4,4,360,4.0,3,0.75,8,5,75.0,4,0,0,1,25.0,1,1,0,0,0.0,1,4.0,3,1,0,0,0,2.4,0.20,-0.6,-0.14,8,20,40.0,124,26,13.7,27.0,18,16.7,19.2,44,2,4.5,4,1.00,12.9,20,4.0,13,75,26,34.7,18.75,6.50,0.16,0.46,17.0,3,1,1,11.1,10.3,0.14,+1.9,+1.7,20,4.0,2102,2437,86.3,37042,12416,907,1021,88.8,1000,1096,91.2,169,237,71.3,9,9.1,6.8,-0.1,59,170,53,11,220,20,4.0,2437,2233,196,71,13,23,63,71,29,3,10,0,2102,8,38,20,4.0,138,34.50,100,8,11,11,8,0,21,5.25,14,0,3,2,2,0,20,4.0,55,33,19,27,9,26,48,54.2,22,32,7,25,16,71,56,2,20,65.3,4.0,2827,191,714,1386,753,128,2826,103,50,48.5,42,40.8,1587,8698,4584,74,61,22,51,30,2089,219,20,25.2,4,360,90,100,4.0,44,82,26,18,19,25,3.00,13,3,+10,+2.50,11.1,2.9,+8.1,+2.03,20,4.0,8,0,0,41,53,8,63,16,33,1,1,0,159,38,38,50.0,2024-09-02 14:47:15.054703
Betis,21,29.1,47.0,2,33,270,3.0,1,1,2,1,0,0,6,0,3.4,3.4,3.0,6.4,48,106,0.33,0.33,0.67,0.33,0.67,1.14,0.99,2.12,1.14,2.12,1,2,2,270,3.0,3,1.00,10,7,80.0,0,2,1,1,50.0,1,1,0,0,0.0,1,3.0,3,1,0,0,0,3.6,0.30,+0.6,+0.22,6,27,22.2,87,16,26.4,30.8,17,23.5,30.1,45,2,4.4,6,2.00,17.7,21,3.0,1,45,9,20.0,15.00,3.00,0.02,0.11,18.6,0,0,0,3.4,3.4,0.08,-2.4,-2.4,21,3.0,1175,1432,82.1,19027,6788,605,664,91.1,432,497,86.9,96,187,51.3,1,3.0,2.6,-2.0,37,73,29,6,106,21,3.0,1432,1299,129,38,3,10,38,53,15,5,6,0,1175,4,37,21,3.0,83,27.67,70,5,1,5,0,2,2,0.67,0,1,0,1,0,0,21,3.0,53,32,31,15,7,30,58,51.7,28,41,15,26,31,84,69,2,21,47.0,3.0,1790,217,722,688,399,77,1790,49,23,46.9,25,51.0,1061,5398,2690,48,37,20,42,33,1168,105,21,29.1,2,270,135,100,3.0,33,80,18,15,22,21,1.00,1,1,0,0.00,3.4,3.6,-0.2,-0.07,21,3.0,6,0,0,44,30,4,38,31,32,0,1,0,136,28,18,60.9,2024-09-02 14:47:15.054703
Celta Vigo,20,26.0,54.3,3,44,360,4.0,9,6,15,9,0,1,8,1,6.4,5.7,4.7,10.3,66,172,2.25,1.50,3.75,2.25,3.75,1.61,1.17,2.78,1.41,2.59,1,3,3,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0,1,4.0,9,0,0,3,2,8.2,0.40,+1.2,+0.30,3,22,13.6,81,15,14.8,24.0,36,27.8,26.4,65,1,1.5,5,1.25,14.8,20,4.0,9,44,19,43.2,11.00,4.75,0.20,0.47,16.8,5,0,1,6.4,5.7,0.13,+2.6,+3.3,20,4.0,1879,2214,84.9,32121,10599,836,910,91.9,848,940,90.2,144,250,57.6,6,4.7,5.0,+1.3,31,118,33,7,172,20,4.0,2214,1995,209,65,11,18,47,81,14,5,4,0,1879,10,42,20,4.0,79,19.75,54,3,8,7,7,0,14,3.50,11,0,1,1,1,0,20,4.0,53,28,24,26,3,28,49,57.1,21,28,12,16,29,82,97,2,20,54.3,4.0,2619,259,827,1241,571,77,2618,57,26,45.6,28,49.1,1510,7835,4223,66,56,22,60,38,1869,171,20,26.0,3,360,120,100,4.0,44,77,24,20,29,27,2.00,8,6,+2,+0.50,6.4,7.0,-0.5,-0.13,20,4.0,8,1,0,34,58,10,47,29,28,0,1,2,130,33,39,45.8,2024-09-02 14:47:15.054703
Espanyol,20,25.4,43.0,4,44,360,4.0,2,2,4,2,0,0,9,0,4.4,4.4,3.5,7.9,44,101,0.50,0.50,1.00,0.50,1.00,1.09,0.87,1.96,1.09,1.96,1,4,4,360,4.0,3,0.75,16,13,81.3,1,1,2,1,25.0,0,0,0,0,,1,4.0,3,0,0,0,0,2.6,0.16,-0.4,-0.10,15,52,28.8,108,18,38.9,34.8,39,25.6,27.7,71,3,4.2,6,1.50,15.2,20,4.0,2,41,9,22.0,10.25,2.25,0.05,0.22,16.7,2,0,0,4.4,4.4,0.12,-2.4,-2.4,20,4.0,1229,1599,76.9,23210,8870,481,563,85.4,593,692,85.7,138,275,50.2,2,3.5,2.6,-1.5,32,79,20,10,101,20,4.0,1599,1409,188,68,4,11,65,59,15,2,11,0,1229,2,37,20,4.0,76,19.00,55,8,4,4,4,1,4,1.00,3,0,0,1,0,0,20,4.0,62,45,34,26,2,24,56,42.9,32,48,20,28,31,93,116,1,20,43.0,4.0,2023,301,755,914,372,58,2023,45,17,37.8,21,46.7,896,5296,2903,44,31,8,57,24,1215,100,20,25.4,4,360,90,100,4.0,44,81,24,20,21,28,1.00,2,3,-1,-0.25,4.4,5.1,-0.7,-0.17,20,4.0,9,0,0,45,54,2,65,31,45,0,0,0,141,55,45,55.0,2024-09-02 14:47:15.054703
Getafe,17,27.2,44.3,2,33,270,3.0,1,1,2,1,0,0,3,0,1.9,1.9,1.5,3.4,27,75,0.33,0.33,0.67,0.33,0.67,0.64,0.49,1.13,0.64,1.13,1,2,2,270,3.0,1,0.33,4,3,75.0,0,3,0,2,100.0,0,0,0,0,,1,3.0,1,0,0,0,0,0.8,0.23,-0.2,-0.06,8,39,20.5,43,6,69.8,49.0,19,47.4,42.1,31,4,12.9,1,0.33,8.9,17,3.0,1,37,3,8.1,12.33,1.00,0.03,0.33,21.3,0,0,0,1.9,1.9,0.05,-0.9,-0.9,17,3.0,596,969,61.5,11673,5625,248,339,73.2,225,326,69.0,100,240,41.7,1,1.5,1.4,-0.5,29,68,11,3,75,17,3.0,969,788,173,53,0,13,52,84,13,8,4,0,596,8,15,17,3.0,65,21.67,40,11,8,3,3,0,2,0.67,0,2,0,0,0,0,17,3.0,58,34,28,21,9,26,45,57.8,19,27,3,24,17,75,53,0,17,44.3,3.0,1325,107,365,608,376,55,1325,64,29,45.3,31,48.4,587,3203,1473,27,31,8,65,22,588,75,17,27.2,2,270,135,100,3.0,33,83,21,12,20,12,1.00,1,1,0,0.00,1.9,0.6,+1.3,+0.45,17,3.0,3,0,0,42,48,8,52,17,34,0,0,0,116,75,55,57.7,2024-09-02 14:47:15.054703
Girona,22,27.6,57.0,3,44,360,4.0,7,5,12,6,1,1,5,0,6.8,6.0,4.6,10.6,71,207,1.75,1.25,3.00,1.50,2.75,1.69,1.15,2.84,1.50,2.65,1,3,3,360,4.0,4,1.00,15,11,73.3,2,1,1,2,66.7,0,0,0,0,,1,4.0,4,0,1,1,0,2.9,0.20,-1.1,-0.26,6,24,25.0,104,16,18.3,27.5,22,22.7,29.1,26,3,11.5,5,1.25,17.9,22,4.0,7,46,14,30.4,11.50,3.50,0.13,0.43,17.3,0,1,1,6.8,6.0,0.13,+0.2,0.0,22,4.0,2087,2388,87.4,35990,10705,978,1046,93.5,945,1024,92.3,151,257,58.8,5,4.6,5.0,+0.4,33,201,32,9,207,22,4.0,2388,2199,179,45,3,13,90,81,23,6,6,5,2087,10,28,22,4.0,77,19.25,61,5,3,4,2,2,13,3.25,11,0,1,1,0,0,22,4.0,67,38,28,28,11,30,59,50.8,29,48,12,36,31,98,43,1,22,57.0,4.0,2781,212,734,1291,771,100,2780,72,37,51.4,33,45.8,1755,9610,4878,71,70,21,62,40,2054,207,22,27.6,3,360,120,100,4.0,44,80,25,19,23,28,1.33,5,4,+1,+0.25,6.8,3.6,+3.2,+0.79,22,4.0,5,0,0,42,35,10,90,31,38,0,0,0,162,13,27,32.5,2024-09-02 14:47:15.054703
Las Palmas,19,28.3,55.5,3,44,360,4.0,3,3,6,3,0,0,3,0,3.7,3.7,3.5,7.2,58,123,0.75,0.75,1.50,0.75,1.50,0.91,0.88,1.79,0.91,1.79,1,3,3,360,4.0,7,1.75,23,16,73.9,0,2,2,0,0.0,3,1,1,1,50.0,1,4.0,7,1,0,0,1,6.3,0.21,+0.3,+0.09,12,35,34.3,112,27,25.0,26.8,38,18.4,22.4,48,3,6.3,3,0.75,16.9,19,4.0,3,44,18,40.9,11.00,4.50,0.07,0.17,18.1,1,0,0,3.7,3.7,0.08,-0.7,-0.7,19,4.0,1774,2174,81.6,30248,10738,835,929,89.9,766,895,85.6,139,272,51.1,3,3.5,2.9,-0.5,39,118,30,17,123,19,4.0,2174,1959,213,54,7,8,83,90,20,7,9,2,1774,2,32,19,4.0,84,21.00,62,10,5,4,3,0,6,1.50,5,0,1,0,0,0,19,4.0,63,37,34,23,6,35,66,53.0,31,45,14,31,33,96,76,1,19,55.5,4.0,2589,296,898,1277,421,64,2589,52,27,51.9,21,40.4,1447,7158,3717,58,43,6,55,35,1759,122,19,28.3,3,360,120,100,4.0,44,81,23,21,19,26,0.67,4,5,-1,-0.25,3.7,7.7,-4.1,-1.01,19,4.0,3,0,0,49,49,2,83,33,37,0,3,1,132,43,59,42.2,2024-09-02 14:47:15.054703
