Squad,# Pl_Standard,Age_Standard,Poss_Standard,MP_Standard,Starts_Standard,Min_Standard,90s_Standard,Gls_Standard,Ast_Standard,G+A_Standard,G-PK_Standard,PK_Standard,PKatt_Standard,CrdY_Standard,CrdR_Standard,xG_Standard,npxG_Standard,xAG_Standard,npxG+xAG_Standard,PrgC_Standard,PrgP_Standard,Gls_Standard,Ast_Standard,G+A_Standard,G-PK_Standard,G+A-PK_Standard,xG_Standard,xAG_Standard,xG+xAG_Standard,npxG_Standard,npxG+xAG_Standard,# Pl_GK,MP_GK,Starts_GK,Min_GK,90s_GK,GA_GK,GA90_GK,SoTA_GK,Saves_GK,Save%_GK,W_GK,D_GK,L_GK,CS_GK,CS%_GK,PKatt_GK,PKA_GK,PKsv_GK,PKm_GK,Save%_GK,# Pl_AdvGK,90s_AdvGK,GA_AdvGK,PKA_AdvGK,FK_AdvGK,CK_AdvGK,OG_AdvGK,PSxG_AdvGK,PSxG/SoT_AdvGK,PSxG+/-_AdvGK,/90_AdvGK,Cmp_AdvGK,Att_AdvGK,Cmp%_AdvGK,Att (GK)_AdvGK,Thr_AdvGK,Launch%_AdvGK,AvgLen_AdvGK,Att_AdvGK,Launch%_AdvGK,AvgLen_AdvGK,Opp_AdvGK,Stp_AdvGK,Stp%_AdvGK,#OPA_AdvGK,#OPA/90_AdvGK,AvgDist_AdvGK,# Pl_Shooting,90s_Shooting,Gls_Shooting,Sh_Shooting,SoT_Shooting,SoT%_Shooting,Sh/90_Shooting,SoT/90_Shooting,G/Sh_Shooting,G/SoT_Shooting,Dist_Shooting,FK_Shooting,PK_Shooting,PKatt_Shooting,xG_Shooting,npxG_Shooting,npxG/Sh_Shooting,G-xG_Shooting,np:G-xG_Shooting,# Pl_Passing,90s_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,TotDist_Passing,PrgDist_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Ast_Passing,xAG_Passing,xA_Passing,A-xAG_Passing,KP_Passing,1/3_Passing,PPA_Passing,CrsPA_Passing,PrgP_Passing,# Pl_PassTypes,90s_PassTypes,Att_PassTypes,Live_PassTypes,Dead_PassTypes,FK_PassTypes,TB_PassTypes,Sw_PassTypes,Crs_PassTypes,TI_PassTypes,CK_PassTypes,In_PassTypes,Out_PassTypes,Str_PassTypes,Cmp_PassTypes,Off_PassTypes,Blocks_PassTypes,# PlG&SCreation,90sG&SCreation,SCAG&SCreation,SCA90G&SCreation,PassLiveG&SCreation,PassDeadG&SCreation,TOG&SCreation,ShG&SCreation,FldG&SCreation,DefG&SCreation,GCAG&SCreation,GCA90G&SCreation,PassLiveG&SCreation,PassDeadG&SCreation,TOG&SCreation,ShG&SCreation,FldG&SCreation,DefG&SCreation,# Pl_DefActions,90s_DefActions,Tkl_DefActions,TklW_DefActions,Def 3rd_DefActions,Mid 3rd_DefActions,Att 3rd_DefActions,Tkl_DefActions,Att_DefActions,Tkl%_DefActions,Lost_DefActions,Blocks_DefActions,Sh_DefActions,Pass_DefActions,Int_DefActions,Tkl+Int_DefActions,Clr_DefActions,Err_DefActions,# Pl_Possession,Poss_Possession,90s_Possession,Touches_Possession,Def Pen_Possession,Def 3rd_Possession,Mid 3rd_Possession,Att 3rd_Possession,Att Pen_Possession,Live_Possession,Att_Possession,Succ_Possession,Succ%_Possession,Tkld_Possession,Tkld%_Possession,Carries_Possession,TotDist_Possession,PrgDist_Possession,PrgC_Possession,1/3_Possession,CPA_Possession,Mis_Possession,Dis_Possession,Rec_Possession,PrgR_Possession,# Pl_PlayTime,Age_PlayTime,MP_PlayTime,Min_PlayTime,Mn/MP_PlayTime,Min%_PlayTime,90s_PlayTime,Starts_PlayTime,Mn/Start_PlayTime,Compl_PlayTime,Subs_PlayTime,Mn/Sub_PlayTime,unSub_PlayTime,PPM_PlayTime,onG_PlayTime,onGA_PlayTime,+/-_PlayTime,+/-90_PlayTime,onxG_PlayTime,onxGA_PlayTime,xG+/-_PlayTime,xG+/-90_PlayTime,# Pl_Misc,90s_Misc,CrdY_Misc,CrdR_Misc,2CrdY_Misc,Fls_Misc,Fld_Misc,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon_Misc,PKcon_Misc,OG_Misc,Recov_Misc,Won_Misc,Lost_Misc,Won%_Misc,Extraction Date
Arsenal,16,26.1,49.7,3,33,270,3.0,5,4,9,5,0,0,10,1,4.2,4.2,3.6,7.8,49,121,1.67,1.33,3.00,1.67,3.00,1.39,1.20,2.59,1.39,2.59,1,3,3,270,3.0,1,0.33,10,9,90.0,2,1,0,2,66.7,0,0,0,0,,1,3.0,1,0,0,0,0,2.0,0.20,+1.0,+0.32,17,49,34.7,84,12,38.1,33.0,22,77.3,50.0,35,6,17.1,1,0.33,8.2,16,3.0,5,38,17,44.7,12.67,5.67,0.13,0.29,16.4,0,0,0,4.2,4.2,0.11,+0.8,+0.8,16,3.0,1080,1298,83.2,18860,6133,509,562,90.6,485,547,88.7,78,149,52.3,4,3.6,2.8,+0.4,32,71,34,4,121,16,3.0,1298,1179,115,34,10,9,35,43,12,10,0,0,1080,4,16,16,3.0,73,24.33,61,3,5,4,0,0,10,3.33,9,1,0,0,0,0,16,3.0,52,33,22,21,9,27,56,48.2,29,32,13,19,28,80,52,4,16,49.7,3.0,1613,166,510,702,417,102,1613,55,23,41.8,26,47.3,977,4957,2441,49,27,23,29,33,1061,118,16,26.1,3,270,90,100,3.0,33,84,23,9,16,18,2.33,5,1,+4,+1.33,4.2,3.5,+0.7,+0.22,16,3.0,10,1,1,45,29,4,35,28,33,0,0,0,100,38,40,48.7,2024-09-02 14:44:45.155536
Aston Villa,18,26.6,43.7,3,33,270,3.0,4,4,8,4,0,0,8,0,4.6,4.6,3.7,8.3,56,61,1.33,1.33,2.67,1.33,2.67,1.54,1.23,2.77,1.54,2.77,1,3,3,270,3.0,4,1.33,10,6,70.0,2,0,1,0,0.0,1,1,0,0,0.0,1,3.0,4,1,0,0,0,2.6,0.20,-1.4,-0.46,22,44,50.0,90,11,36.7,33.2,25,44.0,35.6,40,4,10.0,3,1.00,12.5,18,3.0,4,36,11,30.6,12.00,3.67,0.11,0.36,16.2,0,0,0,4.6,4.6,0.13,-0.6,-0.6,18,3.0,968,1202,80.5,16688,6126,460,507,90.7,399,459,86.9,83,161,51.6,4,3.7,2.6,+0.3,28,66,20,4,61,18,3.0,1202,1057,140,52,9,7,35,45,11,10,1,0,968,5,27,18,3.0,59,19.67,42,4,4,7,0,2,6,2.00,4,1,0,1,0,0,18,3.0,63,35,24,29,10,22,38,57.9,16,24,6,18,18,81,65,2,18,43.7,3.0,1538,215,588,639,334,57,1538,58,32,55.2,21,36.2,790,4633,2666,56,29,11,44,32,953,61,18,26.6,3,270,90,100,3.0,33,78,19,15,27,12,2.00,4,4,0,0.00,4.6,3.6,+1.0,+0.33,18,3.0,8,0,0,40,47,5,35,18,35,0,1,0,109,31,30,50.8,2024-09-02 14:44:45.155536
Bournemouth,19,25.4,46.3,3,33,270,3.0,5,4,9,5,0,0,6,0,5.7,5.7,4.7,10.4,56,116,1.67,1.33,3.00,1.67,3.00,1.89,1.57,3.46,1.89,3.46,2,3,3,270,3.0,4,1.33,21,17,81.0,1,2,0,0,0.0,0,0,0,0,,2,3.0,4,0,0,0,0,5.7,0.28,+1.7,+0.58,11,33,33.3,64,11,34.4,36.8,29,37.9,35.0,48,2,4.2,3,1.00,12.6,19,3.0,5,46,15,32.6,15.33,5.00,0.11,0.33,16.8,2,0,0,5.7,5.7,0.13,-0.7,-0.7,19,3.0,953,1285,74.2,17706,6979,409,477,85.7,426,508,83.9,106,237,44.7,4,4.7,4.1,-0.7,35,84,23,9,116,19,3.0,1285,1139,140,31,0,5,68,55,18,13,2,0,953,6,28,19,3.0,86,28.67,67,7,2,4,4,2,9,3.00,9,0,0,0,0,0,19,3.0,65,33,32,20,13,26,51,51.0,25,47,10,37,27,92,88,1,19,46.3,3.0,1715,208,569,708,459,76,1715,52,12,23.1,33,63.5,856,5020,2783,56,33,18,38,29,942,115,19,25.4,3,270,90,100,3.0,33,81,18,15,19,12,1.67,5,4,+1,+0.33,5.7,4.8,+0.9,+0.30,19,3.0,6,0,0,39,31,6,68,27,33,0,0,0,168,45,57,44.1,2024-09-02 14:44:45.155536
Brentford,17,27.0,40.3,3,33,270,3.0,5,2,7,5,0,0,6,0,4.9,4.9,2.7,7.6,47,95,1.67,0.67,2.33,1.67,2.33,1.63,0.89,2.52,1.63,2.52,1,3,3,270,3.0,4,1.33,20,17,80.0,2,0,1,0,0.0,0,0,0,0,,1,3.0,4,0,0,0,1,4.5,0.23,+1.5,+0.49,24,48,50.0,130,12,30.0,33.7,16,56.3,45.0,39,1,2.6,5,1.67,15.9,17,3.0,5,37,14,37.8,12.33,4.67,0.14,0.36,14.8,0,0,0,4.9,4.9,0.14,+0.1,+0.1,17,3.0,984,1237,79.5,18540,7116,398,464,85.8,440,510,86.3,123,194,63.4,2,2.7,2.3,-0.7,28,67,18,6,95,17,3.0,1237,1107,126,37,4,11,40,56,10,6,0,0,984,4,25,17,3.0,67,22.33,47,6,5,4,4,1,8,2.67,5,1,0,2,0,0,17,3.0,46,29,22,14,10,24,42,57.1,18,40,16,24,27,73,59,0,17,40.3,3.0,1556,258,647,549,378,61,1556,49,17,34.7,26,53.1,891,4698,2419,47,26,14,36,28,969,95,17,27.0,3,270,90,100,3.0,33,83,20,13,18,14,2.00,5,4,+1,+0.33,4.9,5.2,-0.3,-0.09,17,3.0,6,0,0,23,32,4,40,27,29,0,0,1,129,36,23,61.0,2024-09-02 14:44:45.155536
Brighton,21,27.0,57.3,3,33,270,3.0,6,5,11,6,0,0,4,0,5.3,5.3,4.5,9.8,69,134,2.00,1.67,3.67,2.00,3.67,1.77,1.48,3.25,1.77,3.25,2,3,3,270,3.0,2,0.67,11,9,81.8,2,1,0,1,33.3,0,0,0,0,,2,3.0,2,0,0,0,0,2.9,0.26,+0.9,+0.30,12,26,46.2,124,13,19.4,25.1,22,9.1,13.5,28,2,7.1,5,1.67,15.4,21,3.0,6,46,13,28.3,15.33,4.33,0.13,0.46,16.6,1,0,0,5.3,5.3,0.12,+0.7,+0.7,21,3.0,1374,1637,83.9,23498,8324,642,711,90.3,574,656,87.5,122,189,64.6,5,4.5,4.3,+0.5,35,92,22,6,134,21,3.0,1637,1497,138,48,4,10,52,47,16,6,7,0,1374,2,27,21,3.0,84,28.00,57,7,7,7,6,0,10,3.33,8,0,1,1,0,0,21,3.0,56,32,22,27,7,27,50,54.0,23,30,8,22,20,76,41,1,21,57.3,3.0,1948,238,698,795,476,90,1948,66,26,39.4,38,57.6,1178,6599,3714,69,45,30,39,21,1361,134,21,27.0,3,270,90,100,3.0,33,83,18,15,16,12,2.33,6,2,+4,+1.33,5.3,4.0,+1.4,+0.45,21,3.0,4,0,0,24,33,2,52,20,32,0,0,0,123,39,38,50.6,2024-09-02 14:44:45.155536
Chelsea,18,23.5,56.7,2,33,270,3.0,7,6,13,7,0,0,8,0,4.9,4.9,4.2,9.0,63,110,2.33,2.00,4.33,2.33,4.33,1.62,1.39,3.01,1.62,3.01,1,2,2,270,3.0,5,1.67,12,7,58.3,1,1,1,0,0.0,0,0,0,0,,1,3.0,5,0,0,0,0,2.6,0.22,-2.4,-0.79,7,21,33.3,94,14,18.1,25.9,19,21.1,26.4,20,4,20.0,9,3.00,16.7,18,3.0,7,37,18,48.6,12.33,6.00,0.19,0.39,16.0,2,0,0,4.9,4.9,0.13,+2.1,+2.1,18,3.0,1459,1683,86.7,25704,8275,629,693,90.8,696,757,91.9,113,181,62.4,6,4.2,2.7,+1.8,31,120,24,5,110,18,3.0,1683,1558,122,38,6,7,48,44,13,10,0,0,1459,3,20,18,3.0,72,24.00,58,3,5,3,3,0,13,4.33,10,1,1,1,0,0,18,3.0,46,33,16,22,8,23,50,46.0,27,34,10,24,26,72,50,3,18,56.7,3.0,1997,179,592,919,496,65,1997,50,21,42.0,28,56.0,1130,5757,3083,63,28,14,45,26,1448,110,18,23.5,2,270,135,100,3.0,33,83,21,12,21,15,1.50,6,4,+2,+0.67,4.9,3.2,+1.7,+0.57,18,3.0,8,0,0,34,35,3,48,26,33,0,0,0,128,18,19,48.6,2024-09-02 14:44:45.155536
Crystal Palace,19,26.2,50.0,2,33,270,3.0,1,0,1,1,0,0,8,0,3.0,3.0,2.5,5.5,45,110,0.33,0.00,0.33,0.33,0.33,0.99,0.84,1.83,0.99,1.83,1,2,2,270,3.0,5,1.67,15,10,66.7,0,1,2,0,0.0,0,0,0,0,,1,3.0,5,0,0,0,0,6.0,0.45,+1.0,+0.34,9,39,23.1,58,12,53.4,38.8,31,25.8,29.1,36,2,5.6,2,0.67,11.5,19,3.0,1,37,11,29.7,12.33,3.67,0.03,0.09,19.7,2,0,0,3.0,3.0,0.08,-2.0,-2.0,19,3.0,1187,1494,79.5,20727,7092,530,600,88.3,533,623,85.6,98,204,48.0,0,2.5,2.5,-2.5,29,97,17,3,110,19,3.0,1494,1349,138,33,5,5,43,52,14,7,0,1,1187,7,22,19,3.0,66,22.00,55,5,1,3,2,0,1,0.33,0,0,0,1,0,0,19,3.0,64,35,26,27,11,29,56,51.8,27,26,7,19,19,83,71,1,19,50.0,3.0,1831,189,565,887,394,64,1831,43,10,23.3,32,74.4,923,4502,2326,45,36,18,36,19,1180,107,19,26.2,2,270,135,100,3.0,33,83,22,11,20,16,0.00,1,4,-3,-1.00,3.0,5.2,-2.3,-0.75,19,3.0,8,0,0,37,31,7,43,19,35,0,0,0,127,33,52,38.8,2024-09-02 14:44:45.155536
Everton,18,28.5,39.0,3,33,270,3.0,2,2,4,2,0,0,3,1,3.2,3.2,2.8,6.1,34,86,0.67,0.67,1.33,0.67,1.33,1.08,0.95,2.02,1.08,2.02,1,3,3,270,3.0,10,3.33,19,9,47.4,0,0,3,0,0.0,0,0,0,0,,1,3.0,10,0,0,1,0,7.0,0.37,-3.0,-0.99,38,83,45.8,99,7,73.7,49.2,18,55.6,42.9,42,1,2.4,11,3.67,21.6,18,3.0,2,37,10,27.0,12.33,3.33,0.05,0.20,14.8,0,0,0,3.2,3.2,0.09,-1.2,-1.2,18,3.0,789,1079,73.1,16300,6974,334,398,83.9,298,361,82.5,143,258,55.4,2,2.8,3.1,-0.8,28,71,22,5,86,18,3.0,1079,926,140,33,3,10,53,62,14,8,3,2,789,13,24,18,3.0,65,21.67,44,9,3,5,2,2,4,1.33,4,0,0,0,0,0,18,3.0,69,41,32,22,15,36,54,66.7,18,32,8,24,40,109,49,2,18,39.0,3.0,1422,174,475,619,348,76,1422,59,20,33.9,36,61.0,723,3924,1604,34,27,12,38,33,778,84,18,28.5,3,270,90,100,3.0,33,85,23,9,16,18,0.00,2,10,-8,-2.67,3.2,6.1,-2.8,-0.95,18,3.0,3,1,0,29,30,13,53,40,41,0,0,0,144,54,41,56.8,2024-09-02 14:44:45.155536
Fulham,17,27.7,50.3,3,33,270,3.0,3,3,6,3,0,0,8,0,3.1,3.1,3.0,6.1,47,115,1.00,1.00,2.00,1.00,2.00,1.04,1.00,2.04,1.04,2.04,1,3,3,270,3.0,3,1.00,13,10,76.9,1,1,1,0,0.0,0,0,0,0,,1,3.0,3,0,0,1,0,4.2,0.32,+1.2,+0.40,9,34,26.5,103,7,26.2,29.2,22,31.8,30.5,40,3,7.5,4,1.33,14.1,17,3.0,3,37,12,32.4,12.33,4.00,0.08,0.25,15.4,1,0,0,3.1,3.1,0.09,-0.1,-0.1,17,3.0,1201,1475,81.4,21359,7114,503,558,90.1,551,632,87.2,115,208,55.3,3,3.0,2.6,0.0,34,85,21,4,115,17,3.0,1475,1314,160,52,2,8,68,59,21,11,8,0,1201,1,34,17,3.0,70,23.33,46,12,5,3,2,2,6,2.00,6,0,0,0,0,0,17,3.0,49,34,22,18,9,20,45,44.4,25,25,7,18,23,72,39,2,17,50.3,3.0,1774,186,574,771,448,70,1774,61,26,42.6,27,44.3,1060,5331,2627,47,40,19,48,28,1185,113,17,27.7,3,270,90,100,3.0,33,85,19,14,11,13,1.33,3,3,0,0.00,3.1,3.5,-0.4,-0.12,17,3.0,8,0,0,39,38,1,68,23,34,0,0,0,127,44,43,50.6,2024-09-02 14:44:45.155536
Ipswich Town,22,26.2,37.0,3,33,270,3.0,2,2,4,2,0,0,8,0,1.2,1.2,1.0,2.2,32,56,0.67,0.67,1.33,0.67,1.33,0.40,0.33,0.73,0.40,0.73,2,3,3,270,3.0,7,2.33,14,7,57.1,0,1,2,0,0.0,1,1,0,0,0.0,2,3.0,7,1,0,0,0,6.9,0.44,-0.1,-0.03,11,33,33.3,102,17,24.5,30.4,16,50.0,42.9,52,2,3.8,5,1.67,13.8,22,3.0,2,19,7,36.8,6.33,2.33,0.11,0.29,17.4,1,0,0,1.2,1.2,0.06,+0.8,+0.8,22,3.0,861,1081,79.6,14555,5177,430,465,92.5,340,395,86.1,68,149,45.6,2,1.0,1.0,+1.0,14,58,9,2,56,22,3.0,1081,965,106,38,4,6,30,31,11,8,1,0,861,10,28,22,3.0,34,11.33,20,7,4,0,2,1,4,1.33,3,0,1,0,0,0,22,3.0,50,27,35,6,9,24,60,40.0,36,42,12,30,23,73,99,2,22,37.0,3.0,1413,285,656,498,271,34,1413,32,15,46.9,13,40.6,737,3762,1587,32,21,6,37,21,853,56,22,26.2,3,270,90,100,3.0,33,84,19,14,15,13,0.33,2,7,-5,-1.67,1.2,6.8,-5.7,-1.89,22,3.0,8,0,0,39,35,10,30,23,27,0,1,0,99,29,35,45.3,2024-09-02 14:44:45.155536
